IREF_DC,PSRR(Mag),MP,Ganancia(Mag),FGU,DR,CMRR(Mag),SR
2.2e-05,31117.16337,62.35,26363.31386,5866000,1.398,1621810.097,1.4
2.2e-05,9225.714272,68.14,29546.08888,3456000,1.428,272270.1308,1.603
1e-05,37325.01578,81.64,12764.38809,1310000,1.306,1778279.41,1.859
1e-05,417.3495985,78.9,1929.745336,3521000,1.23,226464.4308,1.728
1e-05,41543.20512,72.33,26121.61354,2382000,1.415,562341.3252,1.81
5e-05,8729.713684,67.75,9046.904377,6549000,1.348,141253.7545,7.593
1e-05,6561.452663,76.22,7915.894546,3294000,1.324,3890451.45,1.773
2.2e-05,9462.371614,69.24,20300.1852,4102000,1.391,732824.5331,4.041
5e-05,17988.70915,66.84,23768.40287,6679000,1.29,501187.2336,1.35
2.2e-05,70469.3069,67.62,27133.13652,5536000,1.43,1202264.435,4.046
1e-05,11259.00469,73.67,15205.4753,3172000,1.372,19724227.36,1.774
1e-05,23741.05423,76.83,11871.34701,2525000,1.279,512861.384,1.697
5e-05,24802.75938,55.7,43451.02242,9137000,1.22,446683.5922,1.34
1e-05,1082.679715,77.54,35075.1874,1287000,1.362,90469.04377,0.4467
1e-05,1091.440336,72.63,35809.64371,1180000,1.364,85605.17117,0.3989
1e-05,21702.01204,60.74,42657.95188,2832000,1.412,393550.0755,0.319
1e-05,623.7348355,78.14,16180.80038,1266000,1.349,131825.6739,1.875
1e-05,34119.29116,72.62,41591.06105,3362000,1.45,1174897.555,1.809
5e-05,42364.2966,68.25,31732.18664,5179000,1.251,1083926.914,1.562
1e-05,2564.484037,78.79,19543.39456,1255000,1.364,160324.5391,1.751
1e-05,40691.15338,79.31,2123.244462,3307000,1.169,16405897.73,1.715
1e-05,22855.98803,72.05,26668.58665,3118000,1.447,870963.59,1.848
1e-05,1035.142167,84.72,749.0313585,1291000,1.131,34474.66066,1.79
2.2e-05,18620.87137,69.71,19792.47021,4352000,1.344,2426610.095,1.593
1e-05,20820.92405,69.96,30690.21988,2882000,1.455,699841.996,1.772
1e-05,6839.116473,78.75,8212.965528,2668000,1.255,1548816.619,1.757
2.2e-05,568852.9308,66.62,35563.13186,4267000,1.471,495450.1908,1.481
1e-05,6302.31346,68.74,41927.59967,2860000,1.499,749894.2093,1.791
1e-05,2937.649652,61.97,56428.69413,2640000,1.454,555904.2573,0.3276
1e-05,11721.95366,76.44,18134.26676,1241000,1.4,231739.465,1.776
5e-05,14092.88798,66.01,43052.66105,7693000,1.299,254097.2706,1.354
