IREF_DC,Ganancia Magnitud,CMRR Magnitud,PSRR Magnitud,UGF,PM,Slew_Rate,DRout
1.00E-05,263.3297944,6831.24718,20464.44637,1493000,70,1.74,1.689
1.00E-05,495.4501908,20417.37945,23067.47189,2181000,71.61,1.76,1.696
2.00E-05,657.6578374,26393.68322,26031.54831,2807000,71.06,3.35,1.674
1.00E-05,273.8419634,7629.568912,18556.66809,1698000,70.65,1.74,1.705
2.00E-05,297.1666032,19453.60082,419.758984,2697000,69.95,3.31,1.666
1.50E-05,17478.33262,94951.09992,22620.3854,2013000,70.44,2.52,1.627
2.50E-05,18217.97073,691830.9709,15488.16619,4537000,70.23,4.12,1.578
1.50E-05,19275.24913,134896.2883,24322.04009,2215000,70.28,2.57,1.623
2.00E-05,180.7174126,529.0539972,183.8653954,1868000,70.15,1.73,1.409
1.00E-05,6862.778784,1548.816619,7771.413188,2120000,70.34,1.22,1.464
2.50E-05,18642.32178,254097.2706,17988.70915,4490000,73.35,4.02,1.568
1.00E-05,4280.554196,1189.871329,3859.224116,2633000,68.16,1.45,1.359
2.00E-05,18749.94508,226464.4308,23334.58062,2687000,70.21,3.33,1.621
2.00E-05,2722.701308,1173.545682,2954.608888,2491000,70.23,2.20,1.567
2.50E-05,13258.67118,141253.7545,19520.90734,3297000,71.86,4.04,1.589
1.00E-05,289.0679882,94.62371614,320.9962804,1360000,69.95,0.71,1.406
2.00E-05,190.5460718,92.25714272,207.4913517,1880000,68.83,2.04,1.409
1.00E-05,22724.79635,254097.2706,34753.61614,2273000,69.04,1.75,1.603
2.50E-05,4325.13831,18259.96749,4290.421892,4381000,70.61,3.04,1.462
1.00E-05,272.2701308,7825.282051,5413.772479,1885000,69.82,1.74,1.703
1.50E-05,316.227766,10889.30093,14256.07594,2918000,72.79,2.44,1.714
2.00E-05,3307.501121,776247.1166,3762.703523,2537000,68.06,3.26,1.578
1.50E-05,281.5140015,8090.958992,7302.978129,2144000,70.33,2.54,1.687
1.00E-05,21953.30949,162181.0097,15721.71792,2327000,69.85,1.86,1.555
1.00E-05,25585.85887,254097.2706,32025.80095,2264000,69.31,1.73,1.611
1.00E-05,14223.28787,13630.13006,15310.87462,1869000,69.15,1.11,1.557
2.50E-05,2651.551093,7952.432655,2621.199039,4403000,70.34,3.20,1.434
2.50E-05,2978.516429,1517.050367,7252.704781,3927000,71.91,3.17,1.483
2.00E-05,537.6504331,21428.90601,7063.175543,2681000,70.84,3.45,1.674
1.00E-05,4819.477976,1161.448614,2357.762196,2637000,68.01,1.58,1.375
1.00E-05,4335.108784,759.4514227,5006.105525,2114000,70.04,1.21,1.435
1.50E-05,315.5004623,13835.66379,748.1695005,3150000,70.54,2.49,1.691
1.00E-05,137.2460961,33.84542719,161.6218226,931700,69.94,0.71,1.39
1.00E-05,22882.31712,239883.2919,28346.53633,1906000,69.37,1.80,1.628
2.50E-05,80.53784412,166.5328828,79.25013305,1433000,72.91,2.46,1.341
1.50E-05,12203.93821,8165.823714,13289.23557,2284000,70.78,1.82,1.581
1.50E-05,368.5530419,58.00961725,286.0882361,2340000,71.03,1.76,1.338
1.50E-05,12502.5903,2463.201838,191.8668741,2894000,69.7,2.28,1.459
2.50E-05,363.4963045,14604.94749,3187.865576,4192000,73.86,3.94,1.699
1.00E-05,421.6965034,17021.58508,20725.2606,2150000,71.19,1.80,1.704
1.50E-05,5854.637363,1648.162392,6471.426157,2875000,71.21,1.85,1.471
2.00E-05,10926.97627,44411.96614,11455.12941,2750000,69.15,2.80,1.557
2.50E-05,4350.107606,15506.00787,4300.312336,4372000,70.51,3.16,1.467
1.50E-05,609.5368972,32396.64224,3273.406949,3148000,70.83,2.75,1.672
1.00E-05,26151.70448,242661.0095,31622.7766,2350000,69.03,1.68,1.587
2.50E-05,154.7034504,304.438799,151.1819699,2028000,70.19,2.32,1.408
1.00E-05,2954.608888,899.4975815,2523.480772,2200000,70.26,1.07,1.455
1.00E-05,145.7135705,32.17362533,116.4126029,1149000,77.56,1.30,1.267
2.00E-05,18134.26676,363078.0548,40504.19451,3816000,71.64,3.18,1.585
2.00E-05,10556.01503,162181.0097,29716.66032,2392000,69.75,3.20,1.614
2.50E-05,165.5769963,1101.53931,165.0061001,2164000,69.36,2.60,1.379
1.00E-05,3026.913428,564.9369748,3539.973411,1776000,70.1,0.86,1.54
1.00E-05,3054.921113,695.0243176,3411.929116,1850000,69.53,0.80,1.517
1.50E-05,573.4558665,27227.01308,3144.12642,2541000,69.84,2.77,1.676
1.00E-05,23686.45132,127350.3081,28216.29583,2171000,71.04,1.69,1.588
2.50E-05,23334.58062,716143.4102,21702.01204,4860000,70.57,4.05,1.562
1.50E-05,367.2823005,57.41164622,277.0129039,2330000,70.62,1.83,1.343
1.00E-05,4280.554196,1176.250985,3854.783577,2635000,68.22,1.45,1.359
1.00E-05,25941.79362,154881.6619,34753.61614,2188000,71.24,1.65,1.602
2.50E-05,8336.811846,12927.06701,10292.00527,2726000,70.32,3.52,1.562
2.00E-05,21453.59116,4013.284983,257.3356764,4320000,68.64,2.93,1.443
1.50E-05,2177.709772,383.7072455,2588.212915,2780000,71.18,1.91,1.435
1.00E-05,396.7345289,14157.9378,18071.74126,1691000,70.26,1.84,1.697
1.00E-05,287.7398415,64.49113199,333.0427623,1339000,69.06,0.83,1.405
1.50E-05,17803.27909,226464.4308,13396.76687,2353000,69.94,2.67,1.613
1.50E-05,13137.11495,13258.67118,14206.92213,2177000,70.01,1.91,1.584
2.50E-05,834.6415483,37627.03523,7136.742051,4361000,74.27,4.17,1.666
1.00E-05,273.5268726,7897.688494,3728.206849,1835000,69.42,1.77,1.698
1.00E-05,289.0679882,85.90135215,323.2213203,1397000,69.36,0.84,1.383
2.00E-05,313.3285724,59566.21435,360.1637504,2950000,69.7,3.32,1.667
1.50E-05,617.3052919,32621.20504,3180.533688,3256000,70.51,2.61,1.667
1.50E-05,19815.27026,342767.7865,7870.457897,2312000,69.48,2.53,1.621
2.50E-05,9851.446428,39719.15495,9840.111058,3186000,69.58,3.36,1.549
2.00E-05,16255.48756,162181.0097,10604.73938,2712000,70.94,3.39,1.615
2.00E-05,92.89663868,322.4779319,94.95109992,1330000,72.4,1.75,1.352
1.50E-05,110.5350469,88.81779763,116.6809617,1194000,72.14,1.31,1.344
2.50E-05,9088.662991,8963.961859,5451.298957,3221000,71.71,3.07,1.575
2.00E-05,8800.351117,69823.24041,9151.662593,3009000,69.01,2.93,1.529
1.00E-05,5229.979662,1168.15373,2707.073204,2602000,67.81,1.50,1.38
1.00E-05,287.4087594,58.88436554,338.8441561,1256000,69.2,0.71,1.441
2.50E-05,174.5822153,17.0804772,91.51662593,2517000,72.24,3.25,1.281
1.00E-05,408.7897521,16236.7835,2228.435149,1947000,70.23,1.81,1.695
1.00E-05,22594.3577,113501.0816,29819.47548,2113000,71.52,1.68,1.588
1.00E-05,12912.19274,7559.620603,10629.18583,2271000,70.86,1.50,1.461
2.00E-05,8308.067187,1631.172909,3280.952931,3547000,69.08,2.60,1.409
1.00E-05,493.7419182,21802.18397,3202.580095,2333000,69.77,1.76,1.683
1.00E-05,24575.36631,231739.465,31224.82406,1957000,69.24,1.74,1.632
2.00E-05,312.2482406,10232.92992,10616.95557,2708000,70.76,3.18,1.686
1.50E-05,293.7649652,10339.51101,985.1446428,2520000,69.96,2.55,1.692
1.00E-05,264.2408757,7095.77768,5290.539972,1689000,69.64,1.74,1.688
2.50E-05,17139.57308,242661.0095,13474.10725,3609000,72,4.00,1.603
1.50E-05,8443.062419,2971.666032,4027.170343,2982000,69.69,2.32,1.429
2.50E-05,307.9640342,9965.520801,2246.466776,2707000,70.97,3.90,1.666
